GivenName,SurnameCount,Female,Male,Gender,pVal
愛香,2,2,0,f,0.044897086918354
愛菜,2,2,0,f,0.044897086918354
愛子,33,33,0,f,0.00100000004749745
愛実,5,5,0,f,0.000427115563070402
愛奈,2,2,0,f,0.044897086918354
愛乃,2,2,0,f,0.044897086918354
愛美,21,21,0,f,7.05164923577983E-15
愛梨,4,4,0,f,0.00201574829407036
愛理,6,6,0,f,9.05012275325134E-05
愛里,3,3,0,f,0.00951321329921484
愛莉,5,5,0,f,0.000427115563070402
葵,28,19,9,f,0.00100000004749745
葵衣,2,2,0,f,0.044897086918354
茜,27,27,0,f,0.00100000004749745
旭,16,1,15,b,0.11743888258934
梓,20,18,2,f,8.9985449647223E-11
絢,2,1,1,b,0.378881573677063
絢香,2,2,0,f,0.044897086918354
絢子,9,9,0,f,8.60957527493156E-07
綾,30,29,1,f,0.00100000004749745
綾音,3,3,0,f,0.00951321329921484
綾佳,3,3,0,f,0.00951321329921484
綾花,2,2,0,f,0.044897086918354
綾香,21,21,0,f,7.05164923577983E-15
綾子,57,57,0,f,0.00100000004749745
綾乃,18,18,0,f,7.41247883385976E-13
鮎子,2,2,0,f,0.044897086918354
鮎美,4,4,0,f,0.00201574829407036
安希子,4,4,0,f,0.00201574829407036
安江,2,2,0,f,0.044897086918354
安子,5,5,0,f,0.000427115563070402
安世,2,1,1,b,0.378881573677063
安代,5,5,0,f,0.000427115563070402
安奈,3,3,0,f,0.00951321329921484
安美,3,1,2,b,0.510489940643311
杏,2,2,0,f,0.044897086918354
杏菜,4,4,0,f,0.00201574829407036
杏樹,2,2,0,f,0.044897086918354
杏奈,13,13,0,f,1.73547376469685E-09
伊織,9,3,6,b,0.293646693229675
伊津子,2,2,0,f,0.044897086918354
伊都子,2,2,0,f,0.044897086918354
依子,5,5,0,f,0.000427115563070402
依里,3,3,0,f,0.00951321329921484
威,9,1,8,b,0.401120543479919
育,2,1,1,b,0.378881573677063
育子,17,17,0,f,3.49827848980522E-12
育代,12,12,0,f,8.19047318856292E-09
育美,9,9,0,f,8.60957527493156E-07
郁,15,6,9,b,0.0776554271578789
郁佳,2,2,0,f,0.044897086918354
郁恵,4,4,0,f,0.00201574829407036
郁江,3,3,0,f,0.00951321329921484
郁子,31,31,0,f,0.00100000004749745
郁枝,2,2,0,f,0.044897086918354
郁代,4,4,0,f,0.00201574829407036
郁美,6,6,0,f,9.05012275325134E-05
郁夫,19,0,19,m,0.0108431875705719
一,49,0,49,m,0.00100000004749745
一喜,13,0,13,m,0.0452515780925751
一貴,29,0,29,m,0.00600000005215406
一輝,24,0,24,m,0.0120000001043081
一恵,13,13,0,f,1.73547376469685E-09
一宏,13,0,13,m,0.0452515780925751
一幸,21,0,21,m,0.00673490390181541
一弘,30,0,30,m,0.00499999988824129
一浩,21,0,21,m,0.00673490390181541
一行,13,0,13,m,0.0452515780925751
一子,3,3,0,f,0.00951321329921484
一志,18,0,18,m,0.0137584581971169
一枝,4,4,0,f,0.00201574829407036
