EndChar,SurnameCount,Female,Male,Gender,pVal
駿,42,0,42,m,0.00100000004749745
旬,5,1,4,b,0.712765634059906
淳,231,1,230,m,0.00100000004749745
準,13,0,13,m,0.0452515780925751
潤,95,1,94,m,0.00100000004749745
純,144,16,128,m,0.00400000018998981
順,33,1,32,m,0.0109999999403954
渚,10,10,0,f,1.82427712047684E-07
緒,52,46,6,f,0.00100000004749745
助,65,0,65,m,0.00100000004749745
女,5,5,0,f,0.000427115563070402
勝,196,0,196,m,0.00100000004749745
匠,51,0,51,m,0.00100000004749745
奨,14,0,14,m,0.0356632508337498
将,103,0,103,m,0.00100000004749745
尚,115,0,115,m,0.00100000004749745
彰,184,1,183,m,0.00100000004749745
昇,88,0,88,m,0.00100000004749745
昌,69,0,69,m,0.00100000004749745
昭,505,1,504,m,0.00100000004749745
晶,63,25,38,f,0.00100000004749745
梢,9,9,0,f,8.60957527493156E-07
渉,69,0,69,m,0.00100000004749745
照,19,1,18,b,0.0662333220243454
祥,31,0,31,m,0.00499999988824129
章,363,2,361,m,0.00100000004749745
笑,2,2,0,f,0.044897086918354
丈,21,0,21,m,0.00673490390181541
城,46,1,45,m,0.00300000002607703
穣,17,0,17,m,0.0174575205892324
譲,22,0,22,m,0.00530784949660301
織,176,169,7,f,0.00100000004749745
伸,190,0,190,m,0.00100000004749745
信,289,0,289,m,0.00100000004749745
心,22,7,15,b,0.167007461190224
慎,40,0,40,m,0.0020000000949949
新,26,0,26,m,0.00899999961256981
晋,42,0,42,m,0.00100000004749745
深,6,1,5,b,0.626161813735962
真,239,4,235,m,0.00100000004749745
臣,82,0,82,m,0.00100000004749745
親,20,1,19,b,0.0544967465102673
進,114,0,114,m,0.00100000004749745
人,1390,1,1389,m,0.00100000004749745
仁,494,1,493,m,0.00100000004749745
尋,59,33,26,f,0.00100000004749745
水,10,1,9,b,0.340981245040894
翠,8,7,1,f,0.000124967264127918
瑞,5,2,3,b,0.287234365940094
崇,143,0,143,m,0.00100000004749745
澄,58,37,21,f,0.00100000004749745
世,98,67,31,f,0.00100000004749745
瀬,3,2,1,b,0.115664832293987
勢,5,1,4,b,0.712765634059906
征,31,0,31,m,0.00499999988824129
成,312,0,312,m,0.00100000004749745
政,44,0,44,m,0.00100000004749745
星,24,6,18,b,0.899999976158142
晴,193,20,173,m,0.00100000004749745
正,306,0,306,m,0.00100000004749745
清,84,0,84,m,0.00100000004749745
生,551,52,499,m,0.00100000004749745
盛,14,0,14,m,0.0356632508337498
聖,68,4,64,m,0.00300000002607703
誠,418,0,418,m,0.00100000004749745
青,5,2,3,b,0.287234365940094
静,5,5,0,f,0.000427115563070402
斉,28,0,28,m,0.00700000021606684
雪,19,18,1,f,1.12565842064205E-11
仙,4,1,3,b,0.614211916923523
千,2,1,1,b,0.378881573677063
宣,72,0,72,m,0.00100000004749745
泉,45,21,24,f,0.00100000004749745
善,36,0,36,m,0.00300000002607703
創,16,0,16,m,0.0221511032432318
壮,13,0,13,m,0.0452515780925751
奏,12,10,2,f,7.85216707299696E-06
想,3,1,2,b,0.510489940643311
操,22,8,14,b,0.0750878602266312
早,6,3,3,b,0.114026740193367
